Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@judithverweijen,"Ca ne serait pas la premiere fois que l’intervention est trop tard, on se rappelle bien le massacre de Mutarule il… https://t.co/kWAIiUw520",2017-09-19 22:30:27,fr,,2.0,2.0,,Judith Verweijen,"FWO Postdoctoral Fellow, Ghent University. Researching militarization in DRC at intersection of conflict studies, political ecology & critical military studies.",844.0,43.0,200.0,1664.0,52.0,False,,
@Tshifuvu1,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 22:29:10,fr,,0.0,36.0,,Tshifuvu,,101.0,95.0,67.0,1.0,0.0,False,,
@bmsw1983y,@soniarolley @RFI Demander des comptes au americains ce sont eux qui ont mis le feu au soudan,2017-09-19 22:27:08,fr,,0.0,0.0,@soniarolley,bakayoko moussa Yani,Citoyen du monde,3263.0,195.0,163.0,73.0,3.0,False,,
@NLualaba,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 22:26:07,fr,,0.0,31.0,,Notre Lualaba,,1059.0,1046.0,604.0,61.0,0.0,False,,
@NLualaba,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 22:24:17,fr,,0.0,36.0,,Notre Lualaba,,1059.0,1046.0,604.0,61.0,0.0,False,,
@Mondialisation5,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 22:20:34,fr,,0.0,31.0,,Mondialisation,,84.0,80.0,123.0,0.0,0.0,False,,
@clandestino257,"Beaucoup de zones d ombres, apprendra-t-on un jour la verite sur ce qui s est passe a #Kamanyola #Burundi https://t.co/PDQjTXOLLF",2017-09-19 22:19:12,fr,,0.0,0.0,,Ⓜ️taurus 🇧🇮,daydreamer #sindumuja,1020.0,312.0,138.0,319.0,6.0,False,,
@kinshasaweb,RT @bob_vanderhoeve: @soniarolley Houla ! Tetrahydrocannabinol a fond !! https://t.co/ZzaeZdaYqS,2017-09-19 22:17:59,fr,,0.0,3.0,,#LePaysVaTresMal🇨🇩,Twitter officiel de https://t.co/R42GiHkP0w ..Mes tweets s engagent vers l Afrique... service@congo-kinshasaweb.net I #BBM: D87E3D28,296902.0,53719.0,986.0,8119.0,1214.0,False,,
@FrancoisMulila,"Les casques bleus sont charges de comptabilite et la @SRSG_MONUSCO de communique condamnant les tueries, ce sont des https://t.co/qATn8u9rB6",2017-09-19 22:17:31,fr,,2.0,0.0,,#Article64,Il est doux et beau de mourir pour la patrie! juriste de formation et ayant choisi le camp des opprimes comme mon champ de bataille.,12223.0,9007.0,598.0,2207.0,10.0,False,,
@Mondialisation5,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 22:17:27,fr,,0.0,36.0,,Mondialisation,,84.0,80.0,123.0,0.0,0.0,False,,
@soniarolley,#RDC #Burundi #Kamanyola : les casques bleus ont-ils reagi a temps? https://t.co/7RH4h9CsQ0 via @RFI,2017-09-19 22:11:10,fr,,13.0,17.0,,Sonia Rolley,"Journaliste @RFI, Envoyee speciale permanente a Kinshasa #RDC #Burundi #Rwanda",38205.0,1044.0,1343.0,213571.0,832.0,True,,
@LeconLelo,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 22:06:15,fr,,0.0,36.0,,Lecon Ya Lelo,,95.0,91.0,56.0,0.0,0.0,False,,
@LeconLelo,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 22:04:50,fr,,0.0,31.0,,Lecon Ya Lelo,,95.0,91.0,56.0,0.0,0.0,False,,
@ngai92,RT @soniarolley: #RDC #Burundi #Kamanyola : @MONUSCO apporte un soutien aux refugies de Kamanyola https://t.co/jt1o1HlzX3,2017-09-19 22:03:37,fr,,0.0,7.0,,C_B_B,"Curieuse de tout. Amoureuse de l Afrique. Adore felins, elephants et primates (meme humanoides). Rien a foutre de ce qu on pense de moi depuis le 22/♎/##",23064.0,3832.0,387.0,255.0,68.0,False,,
@Kapirimposhi1,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 22:00:14,fr,,0.0,36.0,,Kapirimposhi,,1365.0,1330.0,484.0,50.0,0.0,False,,
@bob_vanderhoeve,RT @soniarolley: #RDC #Burundi #Kamanyola : @MONUSCO apporte un soutien aux refugies de Kamanyola https://t.co/jt1o1HlzX3,2017-09-19 21:59:59,fr,,0.0,7.0,,Bob VANDERHOEVEN,"#Democratie #CuivreVert #KabilaMustGo #LesCongolaisDebout.com
#ManifesteRdc.com",102673.0,39791.0,800.0,13080.0,76.0,False,,
@Kapirimposhi1,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 21:58:25,fr,,0.0,31.0,,Kapirimposhi,,1365.0,1330.0,484.0,50.0,0.0,False,,
@dtourell,RT @soniarolley: #RDC #Burundi #Kamanyola : @MONUSCO apporte un soutien aux refugies de Kamanyola https://t.co/jt1o1HlzX3,2017-09-19 21:57:58,fr,,0.0,7.0,,Diane E. Tourell,"Canadian lawyer and practitioner of international human rights law, working with the UN to re-establish the rule of law in the Democratic Republic of Congo.",28844.0,16730.0,670.0,733.0,71.0,False,,
@FatMuland,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 21:56:13,fr,,0.0,36.0,,Fat Muland,,1446.0,1432.0,547.0,64.0,0.0,False,,
@RobertNyembo3,@soniarolley @antonioguterres Vous croyez vraiment qu on va vous laisser faire ?,2017-09-19 21:55:55,fr,,0.0,0.0,@soniarolley,Robert Nyembo,Je lutte pour le peuple Congolais,14.0,0.0,85.0,2.0,0.0,False,,
@FatMuland,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 21:55:14,fr,,0.0,31.0,,Fat Muland,,1446.0,1432.0,547.0,64.0,0.0,False,,
@Emmanuel_Kani,"C est l hopital qui se moque de la charite.
#RDC https://t.co/85gUvmaS8o",2017-09-19 21:54:39,fr,,0.0,0.0,,Emmanuel Kani,"Entrepreneur//Business Consultant// Afro-Blogger.
“it s not about ideas. It’s about making ideas happen.”
help us make a difference @ https://t.co/UgOqGe8a2o",1317.0,843.0,1150.0,612.0,14.0,False,,
@muhire534,RT @soniarolley: #RDC #Burundi #Kamanyola : @MONUSCO apporte un soutien aux refugies de Kamanyola https://t.co/jt1o1HlzX3,2017-09-19 21:54:19,fr,,0.0,7.0,,Muhire,"Unity,Love,Peace and Understanding Among All The People.",1051.0,324.0,43.0,22.0,0.0,False,,
@DieudoSamsas,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 21:52:15,fr,,0.0,36.0,,Dieudo Samsas,,1502.0,1464.0,570.0,47.0,0.0,False,,
@DieudoSamsas,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 21:51:12,fr,,0.0,31.0,,Dieudo Samsas,,1502.0,1464.0,570.0,47.0,0.0,False,,
@laurentkambale5,@soniarolley Cette fois ci tu comprends tres bien les choses que dans un pays il faut toujours respecter le president qui est en place,2017-09-19 21:46:46,fr,,0.0,0.0,@soniarolley,Laurent Kangeneti,,116.0,44.0,65.0,25.0,0.0,False,,
@soniarolley,#RDC #Burundi #Kamanyola : @MONUSCO apporte un soutien aux refugies de Kamanyola https://t.co/jt1o1HlzX3,2017-09-19 21:44:55,fr,,8.0,7.0,,Sonia Rolley,"Journaliste @RFI, Envoyee speciale permanente a Kinshasa #RDC #Burundi #Rwanda",38205.0,1044.0,1343.0,213571.0,832.0,True,,
@kimbokoto,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 21:44:03,fr,,0.0,31.0,,Notre Congo,Polypraticiens,3169.0,2937.0,1137.0,1009.0,3.0,False,,
@kimbokoto,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 21:42:00,fr,,0.0,36.0,,Notre Congo,Polypraticiens,3169.0,2937.0,1137.0,1009.0,3.0,False,,
@MichelNawej,RT @petermoj1: #RDC il a une vocation et un don de repare les femmes certes ! il veut tout detruire pour des ambitions demesurees en politi…,2017-09-19 21:32:10,fr,,0.0,31.0,,Michel Nawej,"jeune Congolais, luttant pour la paix et la democratie",4695.0,3675.0,2787.0,2198.0,3.0,False,,
@24serpentar,@BillyKambale1 @AlibabaRDC @soniarolley @SoraZiZ @MichelMoto1 la ferme Billy  . Boucle la un peu tu veux.merci,2017-09-19 21:32:02,fr,,0.0,0.0,@BillyKambale1,Rosaly Mayele Kitoko,"Nobody is superior, nobody is inferior, but nobody is equal either. All the People are simply unique n incomparable... KANAMBE should go ; #KASAIGenocide",5231.0,1588.0,748.0,1475.0,13.0,False,,
@aldolshah,@soniarolley Ils sont au bout et savent bien que le #kasai n oublie jamais et finira par les sanctionner.Et lui sa… https://t.co/811TSSbksf,2017-09-19 21:27:59,fr,,0.0,0.0,@soniarolley,Aldol shanah,"Congolais, partisan de la non-violence engage pour le retablissement d un etat de droit et justice en #RDC",1289.0,32.0,180.0,4.0,0.0,False,,
@MichelNawej,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 21:20:49,fr,,0.0,36.0,,Michel Nawej,"jeune Congolais, luttant pour la paix et la democratie",4695.0,3675.0,2787.0,2198.0,3.0,False,,
@INSOUMISERDC,"RT @soniarolley: #RDC #Tanganyika : l opposant Nathan Mughiso arrete une 1ere fois avant visite de J. Kabila, puis relache. a nouveau arret…",2017-09-19 21:20:21,fr,,0.0,16.0,,LA RDC INSOUMISE,"CONGO HIER, CONGO AUJOURD HUI, CONGO DEMAIN. CONGO FOREVER
POLeMISTE, 
DISCIPLE DE SAUL DAVID ALINSKY",6657.0,588.0,634.0,947.0,4.0,False,,
@Eau08057643,@petermoj1 @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi… https://t.co/yWHWdccf13,2017-09-19 21:16:28,fr,,3.0,3.0,@petermoj1,084/35,Peu importe ce qu on raconte de moi a tort ou a raison.      Vive le batisseur.,1895.0,1282.0,1021.0,391.0,0.0,False,,
@Barthosx,Du vol pur et simple https://t.co/pS6A3nebyY,2017-09-19 21:15:31,fr,,0.0,0.0,,Barthelemy MINANI,Pretre Missionnaire xaverien,1466.0,283.0,161.0,118.0,4.0,False,,
@Eau08057643,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 21:15:00,fr,,0.0,36.0,,084/35,Peu importe ce qu on raconte de moi a tort ou a raison.      Vive le batisseur.,1895.0,1282.0,1021.0,391.0,0.0,False,,
@kabongo_richard,RT @PhilippeEvoloko: @soniarolley Qu il commence a faire une auto critique en tant que chef de l etat  de toute cette insecurite. evaluatio…,2017-09-19 21:10:36,fr,,0.0,4.0,,Kabongo Richard,Greffier Financier,37399.0,70440.0,760.0,1253.0,27.0,False,,
@NICAISE21226337,@soniarolley Mais c une milice cree par lui meme .,2017-09-19 21:08:32,fr,,0.0,0.0,@soniarolley,NICAISE,,4.0,2.0,70.0,1.0,0.0,False,,
@Matende12,"RT @Matende12: On se moque de qui? #JKabila n a pas le sens de moralite, il pille, tue et viole tout en #RDC et appel les autres a la consc…",2017-09-19 21:07:50,fr,,0.0,4.0,,Matende,Chercheuse independante,523.0,428.0,313.0,129.0,0.0,False,,
@Matende12,"On se moque de qui? #JKabila n a pas le sens de moralite, il pille, tue et viole tout en #RDC et appel les autres a… https://t.co/4ch3VQFiJI",2017-09-19 21:07:09,fr,,3.0,4.0,,Matende,Chercheuse independante,523.0,428.0,313.0,129.0,0.0,False,,
@htshikaya,@soniarolley @giressbaggothy Je suis tente de croire que les morts commencent a les hanter,2017-09-19 21:02:07,fr,,0.0,0.0,@soniarolley,hubert tshikaya,"Avocat au barreau de Kinshasa/matete,  specialiste en droit prive et judiciaire/ droit immobilier,le seul camp ou nous sommes tous, c est le camp de droit",1703.0,2355.0,682.0,312.0,0.0,False,,
@didiane3,@soniarolley @Kenrw80 @Le_HCR Ou etait la Monusco?????,2017-09-19 20:56:39,fr,,1.0,0.0,@soniarolley,Diane Yolo,"Co-founder and legal counsel of Bomoko na Biso. Advocate for women/girls, wife and mother. I am a global citizen # Part of the puzzle #Congo,#Belgie,#US",3009.0,7217.0,710.0,479.0,4.0,False,,
@NgotoJoseph,@soniarolley Depuis quand il l a su? Et c est qui cette force obscure?,2017-09-19 20:47:15,fr,,0.0,0.0,@soniarolley,Joseph Ngoto Kenge,L humilite,12.0,8.0,96.0,14.0,0.0,False,,
@emma_lokamba,"RT @BillyKambale1: Jeune, si tu n es pas pret a donner ton sang pour ta patrie ne te plaint pas. Disons non au tyran @soniarolley  @SoraZiZ…",2017-09-19 20:43:57,fr,,0.0,26.0,,Lokamba,Avocat au Barreau de Matadi et Assistant Parlementaire au Parlement de la RDc,39.0,7.0,181.0,7.0,0.0,False,,
@riviere123tshom,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:42:24,fr,,0.0,36.0,,Riviere Tshombe,,4349.0,4314.0,150.0,78.0,0.0,False,,
@lolo_patron,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:41:16,fr,,0.0,36.0,,Lolo Le Patron,,85.0,83.0,97.0,9.0,0.0,False,,
@cedrimuhi,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:40:50,fr,,0.0,36.0,,CEDRICK MUHINDO,,9576.0,9300.0,366.0,981.0,18.0,False,,
@KarlMaroco,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:40:28,fr,,0.0,36.0,,Maroco Karl,,981.0,971.0,166.0,35.0,0.0,False,,
@KapoloweLac,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:39:56,fr,,0.0,36.0,,Lac Kapolowe,,4305.0,4280.0,102.0,69.0,0.0,False,,
@KajitaOscar,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:39:32,fr,,0.0,36.0,,Oscar Kajita,,109.0,107.0,131.0,9.0,0.0,False,,
@CarineLukoji,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:39:09,fr,,0.0,36.0,,Carine Lukoji,,112.0,108.0,96.0,12.0,0.0,False,,
@BijouxMitondo,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:38:45,fr,,0.0,36.0,,Bijoux Mitondo,,106.0,103.0,90.0,9.0,0.0,False,,
@BenoitKibala,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:38:20,fr,,0.0,36.0,,Benoit KIBALA,,9606.0,9315.0,566.0,1125.0,20.0,False,,
@giremaki,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:31:59,fr,,0.0,36.0,,Ir  Giresse M.,"ingenieur de formation.
je soutiens les BATTISSEURS de mon PAYS et de ma PROVINCE.",22720.0,17738.0,2094.0,4391.0,32.0,False,,
@bianca_cartur,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:31:55,fr,,0.0,36.0,,Bianca Cartur,"soyez sur que je vous bloque au 1er faux pas. Pas de stress. Pas d accord, casse-toi",2373.0,2389.0,168.0,89.0,0.0,False,,
@LiakiMadison,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:31:37,fr,,0.0,36.0,,Liaki Madison,,2306.0,2319.0,92.0,33.0,0.0,False,,
@TshifundaJulien,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:31:20,fr,,0.0,36.0,,Julien Tshifunda,,2361.0,2380.0,8.0,23.0,0.0,False,,
@bashir_khalim,RT @bob_vanderhoeve: @soniarolley Houla ! Tetrahydrocannabinol a fond !! https://t.co/ZzaeZdaYqS,2017-09-19 20:30:23,fr,,0.0,3.0,,Bashir Khalim,"congolais, Membre du front citoyens 2016 , soutient a 200% le president Moise Katumbi chapwe  pour sa candidature presidentielle.",22302.0,8038.0,106.0,326.0,15.0,False,,
@MMGratien,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:30:13,fr,,0.0,36.0,,MM Gratien,On ne peut progresser qu avec de l ordre.,24756.0,14191.0,1186.0,3186.0,14.0,False,,
@MafwilaP,@soniarolley C  mieux de nous donner des resultats d enquete serieuse que d avancer de suppositions. Cette histoire… https://t.co/vT3JfbCZLy,2017-09-19 20:29:06,fr,,0.0,0.0,@soniarolley,MAFWILA KINKELA Patr,"Ir Agronome , Msc  Aquaculture. Modelisation mathematique des flux des matieres au sein des fermes integrees 
UNIKIN /ULg Gembloux agro biotech",24.0,2.0,44.0,5.0,0.0,False,,
@SuzMuks,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:27:08,fr,,0.0,36.0,,Suzanne Mukendi,"je suis journaliste,productrice,melomane...",522.0,184.0,511.0,119.0,1.0,False,,
@petermoj1,RT @petermoj1: #RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le complice @moi…,2017-09-19 20:24:07,fr,,0.0,36.0,,Peter Moj,kamikaze de la #RDC  joseph kabila 100% nationaliste,30151.0,24633.0,2226.0,7665.0,17.0,False,,
@petermoj1,#RDC @dreynders @jeanmarcayrault @TV5MONDE @RFIAfrique @soniarolley @ida_sawyer @France24_fr @radiookapi et le comp… https://t.co/GWHNU1FNpt,2017-09-19 20:23:53,fr,,41.0,36.0,,Peter Moj,kamikaze de la #RDC  joseph kabila 100% nationaliste,30151.0,24633.0,2226.0,7665.0,17.0,False,,
@JeanKabesa,@donbish5 @IgnazioMagnani @SoraZiZ @Space_Station @radiookapi @soniarolley @MrBasabose @Bizzoly @USEmbKinshasa… https://t.co/SkamPNBwk6,2017-09-19 20:19:14,und,,1.0,0.0,@donbish5,Jean Pascal Kabesa,"J aime le beau et le vrai, j ai horreur se la mediocrite.",458.0,226.0,143.0,97.0,0.0,False,,
@ya5nick,@soniarolley Mdrrr,2017-09-19 20:19:09,und,,0.0,0.0,@soniarolley,Yannick  Kadima,membre de la Oken Samuel Fondation pour les enfants de Beni et du grand kasai,524.0,379.0,637.0,290.0,0.0,False,,
@GhinoSess,@soniarolley Portrait robot aux similitudes troublantes avec les methodes utilisees par l imposture a la tete 2 laq… https://t.co/cx27Qvrz8Q,2017-09-19 20:16:47,fr,,0.0,0.0,@soniarolley,Serge Sesanga,,704.0,908.0,22.0,54.0,1.0,False,,
@Tresormakolo1,@soniarolley Ca c est selon lui mais l histoire le rattrapera lui jkk,2017-09-19 20:14:41,fr,,0.0,0.0,@soniarolley,Tresor makolo,"Suis avocat , marie a ma femme patience Kanyeba et pere des quatre filles",8.0,4.0,123.0,3.0,0.0,False,,
@binamakabelu,"RT @BillyKambale1: Jeune, si tu n es pas pret a donner ton sang pour ta patrie ne te plaint pas. Disons non au tyran @soniarolley  @SoraZiZ…",2017-09-19 20:09:36,fr,,0.0,26.0,,Binama Kabelu,,659.0,63.0,252.0,21.0,0.0,False,,
@bob_vanderhoeve,RT @bob_vanderhoeve: @soniarolley Houla ! Tetrahydrocannabinol a fond !! https://t.co/ZzaeZdaYqS,2017-09-19 20:04:06,fr,,0.0,3.0,,Bob VANDERHOEVEN,"#Democratie #CuivreVert #KabilaMustGo #LesCongolaisDebout.com
#ManifesteRdc.com",102673.0,39791.0,800.0,13080.0,76.0,False,,
@bob_vanderhoeve,@soniarolley Houla ! Tetrahydrocannabinol a fond !! https://t.co/ZzaeZdaYqS,2017-09-19 20:04:00,fr,,4.0,3.0,@soniarolley,Bob VANDERHOEVEN,"#Democratie #CuivreVert #KabilaMustGo #LesCongolaisDebout.com
#ManifesteRdc.com",102673.0,39791.0,800.0,13080.0,76.0,False,,
@PandeKongolo,"RT @soniarolley: #RDC #Beni : un casque bleu tue, un autre blesse suite a une attaque de presumes ADF contre une position fardc https://t.c…",2017-09-19 19:58:24,fr,,0.0,9.0,,Jean Bonheur PANDE,"Master of Arts Armed conflict peace study, Univ. Nairobi & graduated Ecumenical Study at Univ. Geneva. Maried, 3Kids & Human Rights Defender & Politician",177.0,121.0,564.0,391.0,2.0,False,,
@FKimwanga,"RT @BillyKambale1: Jeune, si tu n es pas pret a donner ton sang pour ta patrie ne te plaint pas. Disons non au tyran @soniarolley  @SoraZiZ…",2017-09-19 19:58:14,fr,,0.0,26.0,,Fazili kimwanga,"Mobilisateur du parti politique Alliance des Congolais Democrates & Republicains/ACDRe-Nord Kivu,coordonnateur National de l action de jeunes pour MOISE KATUMBI",5394.0,2713.0,150.0,237.0,0.0,False,,
@BKilozo,RT @jordanielby1: @EmmanuelMacron @TV5MONDE Qui aboutira a une enieme transition dont Kabila sera le principale beneficiaire ! @fatshi13 @M…,2017-09-19 19:57:49,fr,,0.0,5.0,,Lany#L,La terre est ma science depuis 2000,2980.0,496.0,451.0,154.0,4.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @Congovision2050 @soniarolley @EmmanuelMacron  l amie de dictateurs africains nous peuples congolais on ne marre de votre…,2017-09-19 19:54:49,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @Vmolongi1 @soniarolley @EmmanuelMacron  @realDonaldTrump @ONU_fr @du_congo @kinshasaweb @actualitecd @AfricaTopTweet @re…,2017-09-19 19:54:28,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @Vmolongi1 @soniarolley @EmmanuelMacron @realDonaldTrump @ONU_fr @du_congo @kinshasaweb @actualitecd @AfricaTopTweet @res…,2017-09-19 19:54:24,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @comite4diomi @soniarolley @RFI @realDonaldTrump @EmmanuelMacron @ONU_fr  mr Kabila veulent tue tout nos leaders de resis…,2017-09-19 19:53:58,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @Congovision2050 @soniarolley Nous devons denonce sur @ONU_fr  avant Kabila puisse arrivee la @EmmanuelMacron @realDonald…,2017-09-19 19:53:48,fr,,0.0,5.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @jordanielby1: @soniarolley @SoraZiZ @radiookapi Nous avons Un gouvernement compose de criminel @BrunoTshibala @LambertMende @PrimatureR…,2017-09-19 19:48:13,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@alternance2016,@soniarolley Cest malheureux par ce que ils voulez attribue ca s E.Tshisekedi mais leur propre jeux les a rattrappe… https://t.co/R9igQGvZ4s,2017-09-19 19:48:13,fr,,0.0,0.0,@soniarolley,John P. McCartney,"Human right Activist
philosopher, Anthropologiste and a man who want to see justice",623.0,13.0,157.0,55.0,0.0,False,,
@zoeilungaluabe2,RT @Congovision2050: @soniarolley @jordanielby1 Epargner nous des conneries de ce voyou d Hypolite kanambe fondateur des bana Mura. Franche…,2017-09-19 19:46:51,fr,,0.0,4.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
@zoeilungaluabe2,RT @zoeilungaluabe2: @jordanielby1 @soniarolley @UNICEF @RFI @Presidence_RDC @PrimatureRDC @NkoyJoseph @BrunoTshibala Kabila doit degage !,2017-09-19 19:46:05,fr,,0.0,2.0,,zoeilunga@kb,"Ingnieur en commutation,et Analyste politologue Les peuples d abord@katumbi president! Je ne cesse jamais de dire la verite meme si le monde mes refuse,,.",1877.0,2190.0,288.0,86.0,0.0,False,,
